director_name,actor_1_name,actor_2_name,actor_3_name,Genres,movie_title,comb
Jaume Collet-Serra, Dwayne Johnson,Emily Blunt,Édgar Ramírez,Adventure Fantasy Comedy Action,jungle cruise, Dwayne Johnson Emily Blunt Édgar Ramírez Jaume Collet-Serra Adventure Fantasy Comedy Action
Kirk DeMicco, Lin-Manuel Miranda,Ynairaly Simo,Zoe Saldana,Animation Family Comedy,vivo, Lin-Manuel Miranda Ynairaly Simo Zoe Saldana Kirk DeMicco Animation Family Comedy
Tom McCarthy, Matt Damon,Camille Cottin,Abigail Breslin,Drama Crime Thriller,stillwater, Matt Damon Camille Cottin Abigail Breslin Tom McCarthy Drama Crime Thriller
David Lowery, Dev Patel,Alicia Vikander,Joel Edgerton,Adventure Drama Fantasy,the green knight, Dev Patel Alicia Vikander Joel Edgerton David Lowery Adventure Drama Fantasy
Edson Oda, Winston Duke,Zazie Beetz,Benedict Wong,Drama Fantasy,nine days, Winston Duke Zazie Beetz Benedict Wong Edson Oda Drama Fantasy
Trent O'Donnell, Jake Johnson,D'Arcy Carden,J.K. Simmons,Comedy Drama,ride the eagle, Jake Johnson D'Arcy Carden J.K. Simmons Trent O'Donnell Comedy Drama
Braden King, Philip Ettinger,Stacy Martin,Cosmo Jarvis,Drama,the evening hour, Philip Ettinger Stacy Martin Cosmo Jarvis Braden King Drama
Sabrina Doyle, Pablo Schreiber,Jena Malone,unknown,Drama,lorelei, Pablo Schreiber Jena Malone unknown Sabrina Doyle Drama
Sonia Kennebeck,Sonia Kennebeck (director),unknown,unknown,Documentary,enemies of the state,Sonia Kennebeck (director) unknown unknown Sonia Kennebeck Documentary
James Gunn, Idris Elba,Margot Robbie,John Cena,Action Adventure Fantasy,the suicide squad, Idris Elba Margot Robbie John Cena James Gunn Action Adventure Fantasy
Chase Palmer, John Boyega,Olivia Cooke,Bill Skarsgård,Crime Drama,naked singularity, John Boyega Olivia Cooke Bill Skarsgård Chase Palmer Crime Drama
Pascual Sisto, Charlie Shotwell,Michael C. Hall,Jennifer Ehle,Drama Thriller,john and the hole, Charlie Shotwell Michael C. Hall Jennifer Ehle Pascual Sisto Drama Thriller
Scott Brignac, Hannah Kasulka,Luke Benward,Jude Demorest,Drama Action Thriller Crime,playing god, Hannah Kasulka Luke Benward Jude Demorest Scott Brignac Drama Action Thriller Crime
Todd Stephens, Udo Kier,Jennifer Coolidge,Linda Evans,Drama Science Fiction,swan song, Udo Kier Jennifer Coolidge Linda Evans Todd Stephens Drama Science Fiction
Nick Cannon, Nick Cannon,Chris Brown,Jaliyuh Manuel,Drama,she ball, Nick Cannon Chris Brown Jaliyuh Manuel Nick Cannon Drama
Vince Marcello, Joey King,Joel Courtney,Jacob Elordi,Romance Comedy,the kissing booth 3, Joey King Joel Courtney Jacob Elordi Vince Marcello Romance Comedy
Peter Nicks,Peter Nicks (director),unknown,unknown,Documentary,homeroom,Peter Nicks (director) unknown unknown Peter Nicks Documentary
Shawn Levy, Ryan Reynolds,Jodie Comer,Lil Rel Howery,Comedy Action Adventure Science Fiction,free guy, Ryan Reynolds Jodie Comer Lil Rel Howery Shawn Levy Comedy Action Adventure Science Fiction
Liesl Tommy, Jennifer Hudson,Forest Whitaker,Marlon Wayans,Music Drama History,respect, Jennifer Hudson Forest Whitaker Marlon Wayans Liesl Tommy Music Drama History
Ferdinando Cito Filomarino, John David Washington,Boyd Holbrook,Vicky Krieps,Action Crime Drama Mystery,beckett, John David Washington Boyd Holbrook Vicky Krieps Ferdinando Cito Filomarino Action Crime Drama Mystery
Rodo Sayagues, Stephen Lang,Brendan Sexton III,Madelyn Grace,Thriller Horror,don't breathe 2, Stephen Lang Brendan Sexton III Madelyn Grace Rodo Sayagues Thriller Horror
Sian Heder, Emilia Jones,Eugenio Derbez,Troy Kotsur,Drama Music Romance,coda, Emilia Jones Eugenio Derbez Troy Kotsur Sian Heder Drama Music Romance
